id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,price_period,title,description,property_type,operation_type
0DBic9QJv2FL9Oq0S+xaSA==,Propiedad,2020-10-07,2020-10-22,2020-10-07,3.451,-76.532,Colombia,Valle del Cauca,Cali,,,,,7.0,7.0,,,280000000.0,COP,,Casa en venta en zona norte 3558799,"CASA EN PASAJE NO V&Iacute;A VEHICULAR UBICADA A DOS CASAS EN EL BARRIO LARES DE COMFENALCO, ESTRATO DOS , CONSTRUIDA EN CUATRO PISOS AS&Iacute;: PRIMER PISO DOS ALCOBAS DOS BA&Ntilde;OS, COCINA INTEGRAL Y ZONA DE OFICIOS , SEGUNDO Y TERCER PISO DOS ALCOBAS , DOS BA&Ntilde;OS , COCINA INTEGRAL , BALCON , CUARTO PISO ZONA DE LAVANDER&Iacute;A Y ESTADERO PARA LOS PISOS 2 Y 3 MAS ALCOBA CON BA&Ntilde;O INDEPENDIENTE<br /><br />
  <br />
 Ref#571462.",Casa,Venta
Tqybv5oGSlCxnz4zOmRiug==,Propiedad,2020-10-07,2020-10-07,2020-10-07,5.08748174,-75.48770428,Colombia,Caldas,Manizales,,,,,,,,,100000000.0,COP,Mensual,Venta Casa con Renta San Sebastian _ wasi1605324,"Casa con renta muy bien ubicada, en su primer nivel tiene 2 alcobas, baño, sala comedor, cocina, en su segundo nivel 2 alcobas, baño, sala comedor, cocina integral y en el tercer nivel terraza con excelente panoramica.",Casa,Venta
fqUpSaLRcaU0G4dq+gIVUQ==,Propiedad,2020-10-07,2020-10-07,2020-10-07,5.0445294,-75.5100373,Colombia,Caldas,Manizales,,,,,,1.0,,,185000000.0,COP,Mensual,"venta de casa En Villamaria, Caldas _ wasi471212","venta de casa Estrelladero, Villamaria, CaldasL casa consta de 2 niveles, salacomedor, 4 alcobas, 1 closet, baño, cocina semiintegral, gas, terraza, patio, pisos en ceramica.",Casa,Venta
lLejx/V9D1udEiytyZmUlQ==,Propiedad,2020-10-07,9999-12-31,2020-10-07,3.388,-76.542,Colombia,Valle del Cauca,Cali,,,,,3.0,2.0,,,580000000.0,COP,,CASA EXTERNA ESQUINERA BARRIO CAPRI,"ESPECTACULAR CASA ESQUINERA CONSTRUIDA EN UN SOLO PISO ,TOTALMENTE REMODELADA , CA&Ntilde;ER&Iacute;AS , PISOS , COCINA ,BA&Ntilde;OS, CARPINTER&Iacute;A EN MADERA , FULL ACABADOS , FUENTE DE AGUA  , ANTEJARDIN ,GARAJE PARA TRES CARROS , CERCA EL&Eacute;CTRICA DE SEGURIDAD , V&Iacute;DEO PORTERO , EXCELENTE UBICACI&Oacute;N<br /><br />
  <br />
 Ref#571430.",Casa,Venta
Tj8zC0ZZtnFgi6RyrYsyqg==,Propiedad,2020-10-07,9999-12-31,2020-10-07,3.275,-76.507,Colombia,Valle del Cauca,Jamundí,,,,,3.0,2.0,,,550000000.0,COP,,CASA PAISAJES DEL CASTILLO,"CASA CAMPESTRE CONSTRUIDA EN UN SOLO PISO EN EL SECTOR DEL CASTILLO REMODELADA TOTALMENTE , FULL ACABADOS , AMPLIOS ESPACIOS EN DONDE PODR&Aacute;S DISFRUTAR AL AIRE LIBRE DE DIFERENTES ACTIVIDADES EN FAMILIA Y AMIGOS RODEADO DE LA NATURALEZA , HERMOSAS ZONAS VERDES , DONDE SE RESPIRA AIRE PURO , ESPACIOS TRANQUILOS<br /><br />
  <br />
 Ref#571224.",Casa,Venta
e20FNysTEUjWlRy496uukQ==,Propiedad,2020-10-07,2021-01-06,2020-10-07,5.06775403,-75.47221184,Colombia,Caldas,Manizales,,,,,,2.0,,,220000000.0,COP,,Venta Casa con Renta La Cumbre _ wasi980520,"Casa con renta de 2 niveles distribuida asi:1 nivel: 3 alcobas, baño, sala comedor, cocina sencilla, patio de ropas, pisos en ceramica.2 nivel: 3 alcobas, baño, sala comedor, cocina integral, gas natural, terraza con buena vista, zona de ropas, pisos en ceramica.",Casa,Venta
h+2OjJioSXHNX9V/eL68QQ==,Propiedad,2020-10-07,2020-10-07,2020-10-07,5.0520602,-75.4990066,Colombia,Caldas,Manizales,,,,,,2.0,,,350000000.0,COP,Mensual,"Venta  de casa en Fatima, Manizales  _ wasi502020","venta de casa en Fatima, Manizales Amplia casa consta de sala, comedor, 3 alcobas, 2 baños, cocina semiintegral, gas, patio, pisos en ceramica y garaje descubierto.",Casa,Venta
QDT2Ste3lM7gKsVMgXBHOg==,Propiedad,2020-10-07,2020-10-07,2020-10-07,5.0727803,-75.5296909,Colombia,Caldas,Manizales,,,,,,2.0,,,220000000.0,COP,Mensual,Venta de Casa en La Francia Manizales _ wasi631866,"Venta de hermosa casa iluminada comoda y amplia  de cuatro niveles, en el barrio la montana manizales consta de: 4 habitaciones con closeth, sala, comedor, cocina con gabinetes, patio de ropas cubierto, cuarto de san alejo, baño social y l principal,zona de parqueo cubierta, pisos en ceramica y tapete.",Casa,Venta
XWId6DMdwynCo2fMAhOo2g==,Propiedad,2020-10-07,2020-10-15,2020-10-07,4.8757668,-74.0498582,Colombia,Cundinamarca,Chía,,,,,,3.0,,,395000000.0,COP,,Casa Residencial Asiri,"Linda casa esquinera de 2 pisos, en Conjunto Asiri, 100 M2 de construcción, NUEVA para estrenar,  Solo tiene 1 vecino.ya que esta en pachas de a dos casas.Casa de 2 pisos, 3 habitaciones, principal con baño privado, cocina, zona de lavandería, 3 baños, cocina abierta tipo americano, sala Comedor y baño social, mueble para computador con closet de linos, jardín interior en zona verde, cerca viva, zona verde aledaña a la casa, y doble espacio de parqueadero en línea, uno cubierto con linda pérgola.El conjunto está nuevo, cuenta con Portería 24 horas, CCTV, parque infantil, Salón Social y parqueadero de visitantes.Se encuentra ubicado sobre la Cra 9, con entrada por calle 25, con acceso por la Av. Chilacos, por la Calle 24 y por la Calle 25, así como por Tres Esquinas y también vía El 40. Transporte público Urbano muy cerca, también a Supermercados y Centros Comerciales, Iglesia de la Sagrada Familia, y área comercial.20-263",Casa,Venta
i175WBlNl2fdA974lDAF8Q==,Propiedad,2020-10-07,2020-10-08,2020-10-07,4.81022068,-75.7988531,Colombia,Risaralda,Pereira,,,,,,3.0,,,235000000.0,COP,,VENTA CASA MEDIANERA EN CLUB HOUSE CERRITOS _ wasi2934751,"CASA MEDIANERA EN CLUB HOUSE CERRITOSEL INMUEBLE CUENTA CON SALA, COMEDOR, CUATRO CÓMODAS HABITACIONES CON CLOSET, TRES BAÑOS, GARAJE, PATIO Y ZONA DE ROPAS.EL CONDOMINIO ES MAS QUE UNA VIVIENDA, ES UN ESPACIO PARA LA DIVERSIÓN, LA ARMONÍA Y LA TRANQUILIDAD.PROYECTO DE VIVIENDA DE CASAS EN CONJUNTO CERRADO, EL CUAL CUENTA CON UN ÁREA LIBRE DE 132.756,41 M2, Y UN ÁREA APROXIMADA DE ZONAS VERDES DE 87.662,14 M2.  EL CONJUNTO CONTARA CON: SKATEPARK, VOLEY PLAYA, PISCINA, TURCO, SAUNA, CANCHA DE TENIS, FÚTBOL 5, CANCHA MÚLTIPLE, GOLFITO, ZONA BBQ, PARQUE ZEN, PARQUE PARA MASCOTAS, SENDERO BIOSALUDABLE, PARQUEADEROS PRIVADOS, CICLO RUTA, SALÓN SOCIAL, JUEGOS INFANTILES, CASAS DE MUÑECAS.",Casa,Venta
